trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
66060020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10010100,shp-100-02,1
62900010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
68926020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
6316070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
69067020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
66457010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000770,shp-100-02,1
66252020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000330,shp-100-02,1
64070070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
69141020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10010100,shp-100-02,1
67091020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
100517010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000440,shp-100-02,1
67944020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000550,shp-100-02,1
100088020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,10011111,shp-100-02,1
67776070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
100142010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
7068070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000110,shp-100-02,1
10041020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
7143020,100,1,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000990,shp-100-02,1
10845010,100,3,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000220,shp-100-02,1
38628070,100,2,North - 100A Flemingdon Park towards Don Mills & Wynford,A,1,1000880,shp-100-02,1
